,TRIP_DURATION_MIN,FARE_PER_MILE,HAS_TIP,HAS_EXTRAS,PICKUP_COMMUNITY_AREA,DROPOFF_COMMUNITY_AREA,FARE,TRIP_TIME_OF_DAY_evening,TRIP_TIME_OF_DAY_morning,TRIP_TIME_OF_DAY_night,DAY_TYPE_Tuesday,DAY_TYPE_Wednesday,PAYMENT_TYPE_Electronic,PAYMENT_TYPE_Other
55,15.0,8.5,1,0,28.0,28.0,8.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0
56,15.0,11.0,0,0,8.0,8.0,5.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0
57,15.0,12.0,0,0,32.0,32.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
58,15.0,8.5,0,1,7.0,7.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59,0.5,11.5,0,0,8.0,8.0,5.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0
60,15.0,8.571428571428571,0,0,8.0,32.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
61,15.0,8.737864077669903,1,0,8.0,8.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
62,60.0,6.3559322033898304,0,0,21.0,6.0,30.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
63,30.0,7.3899371069182385,1,0,28.0,24.0,11.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0
64,30.0,7.321428571428572,0,0,32.0,8.0,10.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0
65,15.0,6.976744186046512,1,0,32.0,8.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
66,15.0,8.950617283950617,0,0,7.0,7.0,7.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0
67,15.0,10.416666666666668,0,1,32.0,8.0,6.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0
68,60.0,6.982543640897756,0,0,59.0,61.0,28.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
69,15.0,7.692307692307692,0,1,56.0,8.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70,15.0,10.526315789473685,1,0,32.0,28.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
71,15.0,9.574468085106384,1,0,8.0,24.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
72,30.0,6.979695431472082,1,1,8.0,28.0,13.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0
73,45.0,6.388888888888888,1,0,32.0,8.0,17.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0
74,15.0,10.714285714285714,1,0,8.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
75,15.0,7.394366197183099,1,1,8.0,24.0,10.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0
76,30.0,6.842105263157895,1,0,32.0,28.0,13.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
77,15.0,8.51063829787234,0,0,8.0,32.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
78,15.0,7.6923076923076925,0,0,8.0,8.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
79,30.0,6.4575645756457565,0,0,32.0,7.0,17.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
80,15.0,8.1140350877193,1,0,32.0,28.0,9.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0
81,15.0,9.539473684210526,0,0,8.0,8.0,7.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0
82,15.0,6.906077348066298,1,1,28.0,8.0,12.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0
83,30.0,7.078313253012048,0,0,8.0,28.0,11.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0
84,60.0,6.5136476426799,0,0,28.0,28.0,26.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0
85,15.0,16.0,1,0,32.0,8.0,20.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
86,60.0,6.719817767653759,0,1,7.0,8.0,29.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0
87,30.0,6.627906976744186,0,0,28.0,8.0,14.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0
88,15.0,10.416666666666668,1,0,28.0,28.0,6.25,0.0,0.0,0.0,1.0,0.0,1.0,0.0
89,0.6,10.416666666666668,1,0,32.0,8.0,6.25,1.0,0.0,0.0,0.0,0.0,1.0,0.0
90,0.6,10.0,1,0,8.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
91,0.6,10.416666666666668,0,1,8.0,32.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,15.0,8.61111111111111,0,0,8.0,8.0,7.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0
93,30.0,6.203703703703703,1,0,8.0,24.0,16.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0
94,60.0,6.498829039812647,0,0,44.0,43.0,27.75,0.0,1.0,0.0,1.0,0.0,1.0,0.0
95,15.0,7.500000000000001,0,0,32.0,8.0,10.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
96,30.0,5.590062111801242,1,0,32.0,28.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
97,0.62,10.080645161290322,0,0,8.0,8.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,30.0,6.4575645756457565,0,0,6.0,3.0,17.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0
99,0.52,11.057692307692307,1,0,8.0,8.0,5.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0
100,15.0,9.177215189873417,0,0,32.0,32.0,7.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0
101,0.51,11.274509803921568,1,0,32.0,32.0,5.75,0.0,1.0,0.0,1.0,0.0,1.0,0.0
102,15.0,5.487804878048781,1,0,8.0,28.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
103,30.0,7.394366197183099,0,0,77.0,77.0,10.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
104,30.0,6.971153846153846,0,0,8.0,8.0,14.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
105,0.5,121.74,0,0,8.0,8.0,60.87,0.0,1.0,0.0,1.0,0.0,0.0,0.0
106,15.0,10.526315789473685,1,1,8.0,8.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
107,30.0,4.424657534246575,1,0,8.0,24.0,9.69,1.0,0.0,0.0,1.0,0.0,1.0,0.0
108,30.0,7.03125,0,0,8.0,32.0,11.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0
109,15.0,10.245901639344263,0,0,32.0,32.0,6.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0
110,15.0,7.3076923076923075,0,0,8.0,8.0,9.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
111,15.0,7.5,1,0,32.0,8.0,9.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0
112,15.0,7.954545454545454,0,0,32.0,32.0,8.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0
113,15.0,7.6,1,0,32.0,8.0,9.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0
114,15.0,6.882022471910112,0,0,8.0,8.0,12.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0
115,15.0,6.625,1,0,32.0,24.0,13.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0
116,15.0,8.0,1,0,8.0,28.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
117,15.0,8.5,1,0,8.0,28.0,8.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0
118,15.0,8.0,1,0,28.0,32.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
119,30.0,6.714876033057852,0,0,75.0,53.0,16.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0
120,15.0,7.450331125827814,0,0,8.0,32.0,11.25,0.0,1.0,0.0,1.0,0.0,0.0,0.0
121,75.0,6.263048016701461,0,0,44.0,69.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
122,30.0,7.08092485549133,0,0,1.0,2.0,12.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0
123,75.0,5.9171597633136095,0,0,39.0,69.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
124,15.0,9.285714285714286,1,0,8.0,8.0,6.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0
125,15.0,11.428571428571429,0,1,32.0,28.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,30.0,6.338028169014085,1,0,28.0,8.0,13.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0
127,75.0,5.896686159844054,0,0,43.0,42.0,30.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0
128,15.0,6.805555555555555,1,0,32.0,8.0,12.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0
129,30.0,6.275720164609053,1,0,32.0,8.0,15.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0
130,90.0,6.456241032998565,1,0,43.0,33.0,45.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
131,30.0,7.078313253012048,0,0,8.0,8.0,11.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132,0.67,9.701492537313433,1,0,32.0,28.0,6.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0
133,30.0,6.805555555555555,0,0,41.0,41.0,12.25,0.0,0.0,0.0,1.0,0.0,1.0,0.0
134,1.1,8.863636363636363,1,0,28.0,8.0,9.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0
135,15.0,9.09090909090909,0,1,28.0,8.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
136,15.0,9.722222222222221,0,0,32.0,8.0,5.25,0.0,1.0,0.0,1.0,0.0,0.0,0.0
137,30.0,5.425414364640884,0,0,8.0,24.0,9.82,0.0,0.0,0.0,1.0,0.0,1.0,0.0
138,0.94,7.9787234042553195,0,0,8.0,8.0,7.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0
139,0.5,9.5,0,1,8.0,8.0,4.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0
140,15.0,6.973684210526316,0,0,32.0,28.0,13.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0
141,0.73,9.246575342465754,0,0,8.0,32.0,6.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0
142,15.0,9.701492537313433,1,1,32.0,32.0,6.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0
143,30.0,7.565789473684211,0,0,8.0,32.0,11.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0
144,15.0,7.419354838709677,0,0,8.0,8.0,11.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
145,15.0,7.263513513513514,0,0,3.0,3.0,10.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0
146,60.0,5.65,1,0,32.0,6.0,28.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0
147,30.0,6.511627906976744,1,0,32.0,8.0,14.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
148,45.0,5.994152046783626,0,0,8.0,8.0,20.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0
149,60.0,6.104651162790698,0,0,43.0,43.0,26.25,1.0,0.0,0.0,0.0,0.0,1.0,0.0
150,0.58,10.344827586206897,0,1,8.0,8.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
151,30.0,5.732484076433121,1,0,32.0,8.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
152,30.0,6.375,1,1,8.0,28.0,12.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0
153,15.0,8.75,1,0,8.0,32.0,10.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
154,15.0,9.583333333333334,0,1,8.0,8.0,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,30.0,6.875,1,0,32.0,8.0,11.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
156,15.0,8.75,0,1,32.0,8.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
157,15.0,9.0625,0,0,8.0,8.0,7.25,0.0,1.0,0.0,1.0,0.0,0.0,0.0
158,45.0,5.985915492957747,1,1,8.0,24.0,17.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
159,15.0,11.5,0,0,32.0,8.0,5.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0
160,30.0,6.911764705882353,0,0,59.0,58.0,11.75,0.0,1.0,0.0,0.0,0.0,1.0,0.0
161,15.0,6.61764705882353,0,0,32.0,8.0,11.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0
162,15.0,7.5,0,1,8.0,8.0,7.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
163,75.0,5.681818181818182,0,0,8.0,8.0,31.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0
164,45.0,5.816831683168317,0,0,6.0,2.0,23.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0
165,15.0,7.459677419354839,0,0,8.0,32.0,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,0.84,8.333333333333334,0,0,32.0,8.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
167,15.0,6.153846153846153,1,0,32.0,32.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
168,15.0,9.0625,1,1,32.0,8.0,7.25,0.0,0.0,0.0,1.0,0.0,1.0,0.0
169,15.0,7.6923076923076925,0,0,8.0,8.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
170,15.0,7.3076923076923075,1,0,32.0,8.0,9.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0
171,15.0,6.56934306569343,1,0,8.0,28.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
172,15.0,5.326530612244897,1,0,8.0,8.0,10.44,0.0,0.0,0.0,1.0,0.0,1.0,0.0
173,15.0,10.377358490566037,1,1,8.0,32.0,5.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0
174,15.0,8.928571428571429,1,0,8.0,32.0,6.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0
175,15.0,7.364341085271318,0,0,32.0,32.0,9.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0
176,30.0,6.638418079096045,1,0,32.0,8.0,11.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0
177,15.0,8.0,1,0,8.0,28.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
178,30.0,13.214285714285715,0,0,77.0,77.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,0.52,11.057692307692307,1,1,32.0,8.0,5.75,1.0,0.0,0.0,0.0,0.0,1.0,0.0
180,15.0,6.666666666666667,1,1,32.0,28.0,11.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
181,15.0,7.638888888888888,0,0,8.0,8.0,8.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0
182,15.0,7.75,0,1,28.0,32.0,7.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0
183,15.0,8.333333333333334,1,0,8.0,28.0,7.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0
184,15.0,8.333333333333334,0,0,8.0,8.0,7.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
185,0.9,12.222222222222221,0,0,32.0,32.0,11.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
186,15.0,7.115384615384615,1,1,32.0,8.0,9.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0
187,15.0,11.0,0,1,32.0,33.0,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
188,15.0,8.238636363636363,1,1,32.0,8.0,7.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0
189,15.0,6.80379746835443,1,1,8.0,8.0,10.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0
190,15.0,10.185185185185185,0,0,8.0,8.0,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
191,45.0,5.742459396751741,0,0,8.0,8.0,24.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,15.0,7.377049180327869,1,0,8.0,24.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
193,15.0,10.0,0,0,33.0,33.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194,30.0,4.70383275261324,0,0,32.0,8.0,13.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
195,15.0,7.964601769911505,1,0,8.0,8.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
196,0.57,10.526315789473685,0,0,32.0,32.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
197,15.0,7.377049180327869,0,0,8.0,8.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
198,15.0,5.357142857142858,1,0,28.0,8.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
199,15.0,9.15492957746479,1,1,8.0,8.0,6.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0
200,15.0,6.317204301075268,1,1,32.0,8.0,11.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201,60.0,5.943396226415095,0,0,12.0,77.0,31.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0
202,30.0,6.075697211155379,1,1,32.0,8.0,15.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0
203,15.0,8.433734939759036,0,1,8.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,15.0,15.254237288135593,1,0,32.0,32.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
205,60.0,6.083844580777097,0,0,71.0,69.0,29.75,0.0,1.0,0.0,0.0,0.0,1.0,0.0
206,15.0,9.523809523809524,1,0,32.0,8.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
207,15.0,11.0,1,1,8.0,8.0,5.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0
208,15.0,7.666666666666667,1,0,32.0,8.0,11.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0
209,0.5,10.5,0,0,8.0,8.0,5.25,1.0,0.0,0.0,1.0,0.0,0.0,1.0
210,15.0,11.0,0,0,32.0,28.0,5.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0
211,0.5,11.0,0,0,8.0,8.0,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
212,0.5,11.0,0,0,8.0,8.0,5.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
213,0.5,11.0,0,0,8.0,8.0,5.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
214,60.0,5.710659898477157,0,0,7.0,3.0,33.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0
215,15.0,8.653846153846153,1,0,8.0,8.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
216,15.0,6.622516556291391,1,0,28.0,8.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
217,60.0,5.96646942800789,0,0,38.0,33.0,30.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0
218,15.0,8.904109589041097,0,1,32.0,32.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,30.0,11.875,1,1,76.0,6.0,38.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
220,15.0,9.09090909090909,0,0,8.0,8.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
221,15.0,13.432835820895521,1,0,8.0,8.0,9.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
222,1.07,7.4766355140186915,0,0,2.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
223,15.0,8.333333333333334,0,1,28.0,28.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
224,15.0,10.377358490566037,0,0,8.0,8.0,5.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
225,15.0,7.954545454545454,0,0,8.0,8.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,15.0,10.087719298245615,1,0,8.0,8.0,5.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0
227,30.0,6.095041322314049,1,0,32.0,24.0,14.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0
228,15.0,7.451923076923077,0,0,32.0,32.0,7.75,0.0,1.0,0.0,1.0,0.0,0.0,0.0
229,90.0,3.9030955585464335,0,0,8.0,28.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
230,15.0,7.4074074074074066,1,0,8.0,8.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
231,30.0,6.25,0,0,8.0,8.0,15.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
232,30.0,6.470588235294118,1,0,28.0,8.0,11.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
233,30.0,5.877483443708609,1,1,32.0,7.0,17.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0
234,60.0,5.627009646302251,0,0,42.0,43.0,35.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
235,0.74,8.783783783783784,0,0,8.0,8.0,6.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0
236,15.0,11.0,0,0,32.0,32.0,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
